NAME,HUC6,OBJECTID,N,oc,wsolidityu2,wroundu2,ndvimean,etDp2000,etDp2001,etDp2002,etDp2003,etDp2004,etDp2005,etDp2006,etDp2007,etDp2008,etDp2009,etDp2010,etDp2011,etDp2012,etDp2013,etDp2014,etDp15year,petDp2000,petDp2001,petDp2002,petDp2003,petDp2004,petDp2005,petDp2006,petDp2007,petDp2008,petDp2009,petDp2010,petDp2011,petDp2012,petDp2013,petDp2014,petDp15year,n,log10oc,angularwsolidityu2,sqrtwroundu2,log10petDp15year,sqrtn,STlog10oc,STangularwsolidityu2,STsqrtwroundu2,STsqrtn
Missouri-Poplar,100600,211,9,2.971111112,0.902186444,0.714516,0.341012031,1.005435556,0.975651111,1.069435556,0.879143333,1.262943333,0.890862222,0.994644444,0.890185556,0.81625,0.949352222,0.627342222,0.711403333,0.825102222,0.8332,0.792776667,0.901581852,4.200308889,4.3156,3.895331111,3.895503333,5.116993333,3.926643333,4.596766667,3.805901111,3.713208889,4.121482222,2.450817778,2.332815556,4.149937778,2.769612222,2.96049,3.750094148,1.376184837,0.472918894,1.104029157,0.845290483,0.574042171,1.173109047,0.885839876,-0.186317674,0.05998077,0.61679734
Mono-Owens Lakes,180901,79,12,2.400000009,0.898571429,0.671428571,0.214871604,0.946709091,0.573203636,0.697950909,0.932863636,0.551368182,0.489793636,0.657403636,0.954180909,0.596184545,0.710707273,0.462914545,1.094148182,0.722524545,1.708019091,0.787513636,0.792365697,9.990738182,5.573974545,7.76003,8.235868182,5.395896364,3.948646364,6.189948182,11.05490727,6.685462727,7.067073636,3.607118182,10.38872455,8.695916364,19.53453273,9.618329091,8.249811091,0.766463134,0.380211243,1.099265314,0.819407451,0.916444004,0.875478803,0.537632542,-0.318386328,-0.289201606,-0.94354458
Monongahela,50200,353,12,2.109166652,0.89012504,0.635886109,0.592373682,0.722487,0.891804,0.726671,0.587232,0.581574,0.648689,0.667826,0.648148,0.608859,0.718107,0.73985,0.517138,0.676752,0.660996,0.703689,0.673321467,1.23461,1.433267,1.11373,0.872828,0.894442,1.145097,1.126794,0.997564,0.975767,1.158651,1.247985,0.773368,1.135485,1.024025,1.11179,1.083026867,1.633373512,0.324110896,1.088539388,0.797424673,0.03463923,1.27803502,0.326921212,-0.615742593,-0.585766515,1.166877168
Muskingum,50400,260,2,2.959999979,0.93,0.76,0.504804217,0.5895,0.71755,0.658405,0.567025,0.52597,0.511015,0.57867,0.573485,0.548995,0.682255,0.682835,0.50291,0.55639,0.56952,0.56746,0.588799,1.153515,1.46978,1.23438,1.034965,0.9465,1.038035,1.152585,1.133605,1.15251,1.381915,1.484565,0.88191,1.184725,1.034245,1.14954,1.162185,1.166197452,0.471291708,1.145191014,0.871779789,0.065275266,1.079906224,0.879728212,0.954817933,0.417342264,0.128176727
Neches,120200,297,55,1.578749999,0.912141406,0.74422122,0.708472396,0.731755091,0.575920909,0.593607091,0.715976,0.556925455,0.891940909,0.585833818,0.697208727,0.749668727,0.670961818,1.025288,0.959268909,0.706536182,0.703600909,0.726149636,0.726042812,1.359579091,0.908650364,0.930690909,1.106432182,0.850702364,1.523848,0.977807091,1.051459636,1.198702182,1.101059636,1.651094909,1.826567091,1.107949273,1.192564,1.210882909,1.199865976,1.797635833,0.198313363,1.117760685,0.862682572,0.079132738,1.340759424,-0.145570793,0.19436331,0.29461368,1.495713094
Neosho,110702,269,81,2.343797467,0.923352889,0.756636503,0.568431869,0.640408765,0.686447407,0.716406914,0.692223951,0.592459136,0.79700321,0.664934691,0.571948889,0.502734444,0.583618025,0.729618148,0.540722963,0.655442469,0.520561235,0.717395802,0.64079507,1.638691111,1.491470247,1.486214198,1.458821975,1.14351284,1.697720494,1.74970358,1.138642346,0.948127284,1.119256049,1.409863827,1.402747037,1.88399284,1.08291679,1.575772963,1.415163572,1.174394193,0.369920081,1.134495012,0.869848552,0.150806641,1.083694695,0.498979224,0.658291243,0.391288362,0.148037985
Neuse,30202,214,7,0.964285719,0.93,0.76,0.575054257,0.74471,0.904715,0.6376525,0.5429,0.7922675,0.8779425,0.7139825,0.99395,0.663515,0.637705,0.7996575,0.7667225,0.7813125,0.644705,0.684265,0.7457335,1.284555,1.5942075,1.1230625,0.8573625,1.30388,1.5003375,1.183335,1.8976725,1.2622875,1.07996,1.38141,1.316455,1.2986475,1.1078,1.1596925,1.290044333,1.753986793,-0.015794265,1.145191014,0.871779789,0.110604635,1.324381665,-0.949753039,0.954817933,0.417342264,1.409851845
Niobrara,101500,227,46,1.661521744,0.924485183,0.747474079,0.341245861,0.718489783,0.890387174,1.027111957,0.802132174,0.691308913,0.631811304,0.756048261,0.766237826,0.709331739,0.679854565,0.702947609,0.673698696,1.069990435,0.738610652,0.673928696,0.768792652,3.60108587,3.909528261,5.811681957,3.735076304,3.409913478,2.809384348,4.187997826,3.72213087,2.996459783,2.488440435,2.748056957,2.602253043,8.098188913,2.937309348,2.583354783,3.709390812,0.976615568,0.220506029,1.13627237,0.864565833,0.569302592,0.988238619,-0.062215762,0.70756519,0.320020346,-0.352395422
North Lahontan,180800,86,16,1.26700002,0.84063764,0.49596629,0.224070855,0.874418125,1.0160175,0.906395625,0.916840625,0.869828125,0.76163375,0.799025,1.25968875,1.00973125,0.81829,0.705205625,1.0363575,0.655051875,1.37622,0.63060875,0.909020833,6.864995625,9.766818125,8.3426,7.129259375,7.0997075,5.08850625,5.296303125,11.777775,9.795615,6.520828125,4.72689875,6.689651875,6.1906475,12.82378438,6.221760625,7.622343417,1.039138071,0.102776622,1.034101829,0.704248742,0.882088512,1.01938122,-0.504404115,-2.124922213,-1.842782837,-0.189128731
North Platte,101800,96,45,0.977999995,0.919319381,0.726433817,0.28944242,0.824533111,0.941877333,1.149497333,0.781735333,0.800522222,0.740521111,0.847804667,0.769787111,0.804298667,0.645055556,0.734561778,0.739083333,1.279434222,0.816410444,0.683655556,0.837251852,5.218067778,5.150605778,7.403160222,4.189485556,4.263451333,4.008778,5.573441556,4.597153333,4.276538,2.935680444,3.613506,3.712648889,10.90958089,4.169002444,3.303447778,4.8883032,1.018002697,-0.009661147,1.128300627,0.852310869,0.689158135,1.008961197,-0.926717221,0.486563511,0.154691276,-0.243756237
